indeks,korak,navodila
24,2.,"V loncu na segretem oljčnem olju podušimo česen in čebulo, da posteklenita. Dodamo bučo in ingver ter dušimo približno 2–3 minute. Zalijemo z vinom, nato pa prilijemo še jušno osnovo in kuhamo približno 5 minut. Vmešamo malo nastrgane limetine lupine, pretlačimo s paličnim mešalnikom in precedimo. "
24,3.,"Čisto juho še enkrat zavremo, penasto umešamo smetano ter po okusu solimo in popramo."
25,1.,"Kumaro razpolovimo, po potrebi odstranimo semena, in narežemo na kocke ter postavimo v zmogljiv mešalnik / blender. "
25,2.,"Avokado razpolovimo, kost odstranimo, meso pa dodamo h kumaram."
25,3.,"Dodamo še sesekljano mlado čebulo, jogurt, baziliko, peteršilj, meto, sok polovice limone, strok česna, sol, poper, balzamični kis in kanec oljčnega olja."
25,4.,"Vse sestavine zmiksamo do gladkega. Po potrebi med mešanjem dodamo kanec vode, odvisno kako gosto juho želimo."
25,5.,"Juho postavimo v hladilnik za približno 4 ure, da se ohladi."
25,6.,"Juho postrežemo ohlajeno, okrasimo jo lahko z rezinami kumare, žlico jogurta in pokapljamo z oljčnim oljem."
26,1.,"Paradižniku primešamo papriko v prahu, baziliko, sol in sladkor ter ga za približno 3 ure postavimo v hladilnik. Nato ga z mešalnikom pretlačimo v juho, umešamo oljčno olje in limonin sok ter dobro začinimo s soljo in poprom."
26,2.,"Piščančji file narežemo na trakove, ki jih začinimo s provansalskimi zelišči, soljo in poprom. Nataknemo jih na nabodala in jih v vroči naoljeni ponvi pečemo približno 3 minute na vsaki strani."
26,3.,Juho prelijemo v skledice in jo pokapamo z malo oljčnega olja. Na vsako skledico položimo piščančje nabodalo in okrasimo s svežo baziliko.
3,1.,"Moko in jajce ročno zgnetemo v trdo testo (po potrebi dodamo malo vode). Testo mora biti čim bolj trdo, da ga bo lažje ribati. "
3,2.,"Zgneteno testo naj malo počiva, nato pa ga naribamo v kašo, ki jo kuhamo v osoljenem kropu ali kar neposredno v juhi. Naribano kašo lahko tudi posušimo in shranimo za prihodnjič."
4,1.,"Dobro oprane kumare naribamo v visoko posodo ter jih pokapamo z limoninim sokom in 2 žlicama oljčnega olja, v katerem smo vsaj pol ure namakali strok česna. Dodamo kislo smetano in jogurt ter vse skupaj dobro pretlačimo s paličnim mešalnikom. "
4,2.,"Juho precedimo skozi srednje gosto cedilo, jo solimo in popramo po okusu ter do serviranja postavimo na hladno. "
4,3.,"Kozice odtalimo in jih nanizamo na nabodala ali pa že pripravljena nabodala odtalimo, nato pa kozice premažemo z oljčnim oljem in jih na žaru ali v ponvi pečemo približno 2 minuti na vsaki strani. "
4,4.,Juho nalijemo v skodelice in na vsako skodelico položimo po eno še toplo nabodalo.
5,1.,"Čebulo, česen in ingver olupimo ter narežemo na kocke. Bučo olupimo, ji odstranimo sredico s semeni in jo prav tako nakockamo. "
5,2.,"V loncu na segretem oljčnem olju podušimo česen in čebulo, da posteklenita. Dodamo bučo in ingver ter dušimo približno 2–3 minute. Zalijemo z vinom, nato pa prilijemo še jušno osnovo in kuhamo približno 5 minut. Vmešamo malo nastrgane limetine lupine, pretlačimo s paličnim mešalnikom in precedimo. "
5,3.,"Čisto juho še enkrat zavremo, penasto umešamo smetano ter po okusu solimo in popramo."
6,1.,"Kumaro razpolovimo, po potrebi odstranimo semena, in narežemo na kocke ter postavimo v zmogljiv mešalnik / blender. "
6,2.,"Avokado razpolovimo, kost odstranimo, meso pa dodamo h kumaram."
6,3.,"Dodamo še sesekljano mlado čebulo, jogurt, baziliko, peteršilj, meto, sok polovice limone, strok česna, sol, poper, balzamični kis in kanec oljčnega olja."
6,4.,"Vse sestavine zmiksamo do gladkega. Po potrebi med mešanjem dodamo kanec vode, odvisno kako gosto juho želimo."
6,5.,"Juho postavimo v hladilnik za približno 4 ure, da se ohladi."
6,6.,"Juho postrežemo ohlajeno, okrasimo jo lahko z rezinami kumare, žlico jogurta in pokapljamo z oljčnim oljem."
7,1.,"Paradižniku primešamo papriko v prahu, baziliko, sol in sladkor ter ga za približno 3 ure postavimo v hladilnik. Nato ga z mešalnikom pretlačimo v juho, umešamo oljčno olje in limonin sok ter dobro začinimo s soljo in poprom."
7,2.,"Piščančji file narežemo na trakove, ki jih začinimo s provansalskimi zelišči, soljo in poprom. Nataknemo jih na nabodala in jih v vroči naoljeni ponvi pečemo približno 3 minute na vsaki strani."
7,3.,Juho prelijemo v skledice in jo pokapamo z malo oljčnega olja. Na vsako skledico položimo piščančje nabodalo in okrasimo s svežo baziliko.
